what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1363121711363
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1363121711635
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1363121711688
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363121744215
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363121756719
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1363121763931
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1363121764192
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363121768981
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363121773459
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363121777257
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363121845997
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363121849469
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363121867224
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363121880711
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363121929679
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363121932615
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363121950926
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1363121956327
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363121964202
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363121971121
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1363121981381
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1363122018379
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1363122018418
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1363122070508
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1363122070546
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363122080242
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363122097455
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1363122100125
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1363122100405
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363122134975
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363122176114
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363122179047
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363122432601
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363122433703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363122457828
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1363122467801
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1363122474300
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1363122474902
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1363122474944
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1363122527316
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363122534204
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363122635635
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1363122638921
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1363122639173
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1363122639214
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1363122678353
